UMAP_n_components,HDBSCAN_min_cluster_size,UMAP_n_neighbors,UMAP_min_dist,Num_Clusters,Silhouette_Score,Davies_Bouldin_Score,Calinski_Harabasz_Score,Outlier_Proportion
50,100,20,0.1,65,0.11,0.9,"5,334",0.38
50,200,20,0.1,45,0.12,0.92,"5,997",0.41
50,300,20,0.1,34,0.15,0.87,"7,489",0.42
100,100,20,0.1,65,0.08,0.9,"4,941",0.42
5,50,20,0.1,135,-0.063279271,0.947693334,1546.363139,0.475948637
5,150,20,0.1,53,0.111418024,0.943953148,6194.797213,0.368306642
5,250,20,0.1,38,0.149044022,0.980808703,7838.109976,0.364709277
10,50,20,0.1,144,-0.092178397,0.93206004,1325.103155,0.504121579
10,150,20,0.1,57,0.108450256,0.887337571,5597.544505,0.406425239
10,250,20,0.1,38,0.152400762,0.889673135,6938.917154,0.402308469
20,50,20,0.1,135,-0.05879125,0.919449832,1601.352757,0.478555283
20,150,20,0.1,54,0.101703912,0.873300382,5659.484405,0.410311162
20,250,20,0.1,38,0.134925902,0.877186515,6758.232156,0.426980234
50,300,20,0.1,31,0.172210991,0.886140664,8453.576205,0.39378637
50,400,20,0.1,24,0.160333589,0.980567983,9024.140344,0.404818929
50,500,20,0.1,18,0.166027248,1.089445336,9902.603325,0.411138364
60,300,20,0.1,33,0.149337858,0.858210589,7610.876766,0.422998124
60,400,20,0.1,23,0.161670566,0.98729024,9305.515256,0.408358582
60,500,20,0.1,18,0.170907333,1.101603417,9978.871756,0.405213293
50,250,20,0.1,38,0.142723545,0.884449996,6787.781831,0.417073053
50,350,20,0.1,2,0.37118268,1.992668725,1228.411858,0.006127062